sample_id,treatment,gpp_sum,npp_sum,lai_mean,reco_sum,rauto_sum,rhetero_sum,npp_leaf_sum,npp_wood_sum,npp_root_sum,npp_repro_sum,litterfall_c_sum,leaf_c_end,wood_c_end,root_c_end,plant_c_end,soil_c_end,nsc_end,p_demand_sum,p_uptake_sum,p_retrans_sum,leaf_p_end,root_p_end,plant_p_end,leaf_cp_end,root_cp_end,p_net_sum,fptase_sum,p_loss_sum,labile_p_end,sorbed_p_end,strongly_sorbed_p_end,occluded_p_end,microbial_p_end,organic_p_end,total_inorganic_p_end
t008_s026,P25,3521.327637,1236.346191,1.982957363,3312.629395,976.9800415,2335.648193,321.5344849,217.4382477,566.3729858,131.0012665,706.0606079,168.816925,207.6036835,84.315979,576.5559692,21581.23633,90.06227112,590.8189087,0.9208029509,0.3922891617,0.2102327794,0.0713333115,0.4839471281,803.0,1182.000122,6.08068943,0.007195739076,0.0002999923017,6.425518036,6.53862524,18.04240608,131.9381561,1.485590696,112.9667969,162.9447021
t008_s026,P50,3791.30249,1494.961304,2.283498764,3484.949463,1049.295898,2435.646484,383.84021,260.422821,675.8250122,174.8738708,873.4334717,179.1269989,250.9654083,87.02896881,667.7960815,21648.70312,90.27548218,514.8326416,1.093166709,0.4835097194,0.2230722308,0.07362856716,0.5561642647,803.0,1182.0,5.97621727,0.007196147926,0.0004743854515,10.16031837,9.946993828,18.04602432,131.9383392,1.617030382,113.1460571,170.0916748
t008_s026,P100,4071.13501,1816.115234,2.547578573,3670.568848,1097.233398,2573.334717,457.9588013,316.6032104,807.784668,233.7677612,1098.864258,179.321991,302.5979919,88.11080933,763.5181274,21736.58984,91.33577728,445.3566589,1.306667686,0.6051104069,0.2233150452,0.07454383373,0.6271109581,803.000061,1182.0,5.836359501,0.007196848281,0.0008365761605,18.07628441,16.37989044,18.05265617,131.9382324,1.79114604,113.3907928,184.4470673
t008_s027,P0,4817.212891,2475.633057,3.751111031,2969.297852,1082.986572,1886.305786,611.8572388,443.8663635,1084.45166,335.4561462,1503.224609,231.1520538,421.8964539,98.46942902,1018.977905,22110.49609,68.37272644,176.1268463,1.670873523,0.8154293895,0.2878606021,0.0833074674,0.8270195723,802.999939,1182.0,3.643392563,0.007180412766,0.0001919443312,2.402225018,2.552939415,18.03639221,131.9392853,1.634999871,113.0864716,154.9308472
t008_s027,P25,4968.069824,2644.955078,4.120482445,3031.375732,1089.112427,1942.267578,652.6682739,477.6037903,1154.175293,360.5069275,1605.69519,247.0538483,453.1973877,99.715271,1085.824585,22156.99609,70.29338074,171.1778259,1.771451235,0.8684000373,0.3076635897,0.08436146379,0.8796896338,802.999939,1182.000244,3.632621288,0.00718047563,0.0003789669718,6.092112064,6.221247196,18.04126549,131.9395599,1.671810985,113.1432877,162.2941895
t008_s027,P50,5007.984375,2686.604248,4.211518764,3050.733398,1094.514648,1956.21875,662.3098755,485.5718689,1172.383545,366.3392334,1633.254272,249.8273163,460.5838318,99.80514526,1099.92041,22170.63086,70.76495361,168.7197266,1.797042727,0.8828231692,0.3111174703,0.08443750441,0.8900386095,802.999939,1182.000122,3.624624014,0.00718053896,0.0005713792052,9.943893433,9.756558418,18.04528046,131.9396667,1.684285879,113.1636887,169.6853943
t008_s027,P100,5022.384277,2701.06665,4.243363857,3058.25708,1096.901489,1961.352905,665.6306763,488.1808167,1178.828003,368.4273987,1642.888184,250.7453156,463.1506348,99.81622314,1104.751465,22175.13086,70.89156342,166.0584106,1.805979729,0.8878623247,0.3122606575,0.08444689214,0.8935588598,803.0,1182.0,3.622133493,0.00718057435,0.0009681356605,18.04107285,16.35339737,18.05301285,131.939743,1.688441038,113.1706543,184.3872223
t008_s028,P0,4814.455566,2472.09082,3.74311161,2967.970459,1082.817871,1885.154419,610.925354,443.1551514,1082.914917,335.0953979,1501.067383,230.8050079,421.246582,98.44358826,1017.589722,22109.49023,68.58415985,176.2425232,1.668946266,0.8143115044,0.2874284387,0.0832856074,0.8259280324,802.9998779,1182.0,3.643895149,0.007180406712,0.000191253901,2.387429476,2.537629604,18.0719986,131.9393158,1.634025216,113.0849762,154.9363708
t008_s028,P25,4967.663086,2644.571289,4.119549751,3031.22998,1089.065918,1942.17041,652.5016479,477.5117798,1154.091797,360.4681091,1605.451904,247.0199432,453.1500854,99.71822357,1085.687988,22156.85547,70.28057861,171.2763519,1.771205783,0.868268609,0.30762133,0.08436397463,0.8795592785,803.000061,1182.000122,3.632676601,0.00718047563,0.0003777871025,6.06141901,6.191916943,18.09575462,131.9396515,1.671699166,113.143074,162.2887421
t008_s028,P50,5007.849121,2686.509766,4.211118221,3050.692871,1094.496094,1956.193726,662.2549438,485.5348511,1172.381104,366.3409729,1633.193359,249.8163757,460.5679016,99.80531311,1099.887695,22170.58984,70.76106262,168.811264,1.79701972,0.8827846646,0.3111038208,0.08443765342,0.8900135756,803.0,1182.000122,3.624643803,0.00718053896,0.0005697106244,9.897557259,9.715677261,18.12837791,131.9397736,1.684256315,113.1636429,169.6813965
